Numbers
43
42
37
25
24
14
43
42
37
25
24
14
28
25
13
10
03
02
28
25
13
10
03
02
34
31
25
17
15
07
34
31
25
17
15
07
43
36
27
20
15
10
43
36
27
20
15
10
49
46
41
13
10
08
49
46
41
13
10
08
19
16
13
12
04
03
19
16
13
12
04
03
46
30
16
12
07
06
46
30
16
12
07
06
49
46
43
33
24
14
49
46
43
33
24
14
42
37
27
23
17
05
42
37
27
23
17
05
48
24
15
14
07
02
48
24
15
14
07
02
38
35
34
30
21
04
38
35
34
30
21
04
47
38
27
26
12
10
47
38
27
26
12
10
46
36
35
32
29
20
46
36
35
32
29
20
44
42
41
37
26
12
44
42
41
37
26
12
41
30
25
21
10
07
41
30
25
21
10
07
47
37
33
27
07
05
47
37
33
27
07
05
34
26
24
20
18
07
34
26
24
20
18
07
41
36
34
28
10
04
41
36
34
28
10
04
44
39
32
28
26
02
44
39
32
28
26
02
36
32
30
24
23
06
36
32
30
24
23
06
24
12
11
10
06
03
24
12
11
10
06
03
40
37
11
09
06
03
40
37
11
09
06
03
47
44
35
31
29
03
47
44
35
31
29
03
49
41
38
32
12
09
49
41
38
32
12
09
45
38
23
19
07
04
45
38
23
19
07
04
39
38
28
25
14
06
39
38
28
25
14
06
49
43
41
24
20
02
49
43
41
24
20
02
38
31
23
14
07
03
38
31
23
14
07
03
35
32
30
19
18
05
35
32
30
19
18
05
44
39
37
32
11
10
44
39
37
32
11
10
46
36
27
26
12
06
46
36
27
26
12
06
37
32
26
24
18
02
37
32
26
24
18
02
40
34
25
22
20
04
40
34
25
22
20
04
45
31
29
13
08
07
45
31
29
13
08
07
38
31
24
22
14
11
38
31
24
22
14
11
37
35
32
27
25
06
37
35
32
27
25
06
38
23
16
08
05
01
38
23
16
08
05
01
48
46
18
17
14
13
48
46
18
17
14
13
42
19
11
09
08
01
42
19
11
09
08
01
39
34
23
22
05
03
39
34
23
22
05
03
44
17
13
10
07
03
44
17
13
10
07
03
33
31
28
17
14
04
33
31
28
17
14
04
46
43
38
24
19
08
46
43
38
24
19
08
48
29
25
08
06
02
48
29
25
08
06
02
47
40
35
30
08
02
47
40
35
30
08
02
32
29
27
21
02
01
32
29
27
21
02
01
47
46
30
23
22
03
47
46
30
23
22
03
43
42
35
32
30
15
43
42
35
32
30
15
48
40
39
13
11
08
48
40
39
13
11
08
39
29
27
16
05
04
39
29
27
16
05
04
47
22
19
14
13
11
47
22
19
14
13
11
40
26
24
10
08
06
40
26
24
10
08
06
47
29
21
16
05
01
47
29
21
16
05
01
32
22
15
12
05
04
32
22
15
12
05
04
47
45
25
20
08
04
47
45
25
20
08
04
48
41
28
11
09
02
48
41
28
11
09
02
47
33
27
19
06
01
47
33
27
19
06
01
49
46
43
34
05
04
49
46
43
34
05
04
49
45
27
22
14
03
49
45
27
22
14
03
40
39
32
28
27
19
40
39
32
28
27
19
48
40
27
23
19
14
48
40
27
23
19
14
41
39
34
26
22
16
41
39
34
26
22
16
43
36
30
19
15
06
43
36
30
19
15
06
46
21
18
16
10
09
46
21
18
16
10
09
49
37
34
23
11
04
49
37
34
23
11
04
43
42
37
32
31
14
43
42
37
32
31
14
43
32
23
21
16
12
43
32
23
21
16
12
39
31
27
25
18
15
39
31
27
25
18
15
42
40
38
35
26
12
42
40
38
35
26
12
30
22
21
09
08
01
30
22
21
09
08
01
26
25
24
17
10
04
26
25
24
17
10
04
36
20
15
13
02
01
36
20
15
13
02
01
47
43
40
23
17
04
47
43
40
23
17
04
26
20
18
10
07
04
26
20
18
10
07
04
49
37
16
14
10
04
49
37
16
14
10
04
37
28
19
18
08
06
37
28
19
18
08
06
45
43
25
19
16
05
45
43
25
19
16
05
